rho,lambda_factor,log_Lambda,b2_certificate,ball_radius,S0_Ymax,S0_exit,S1_exit,phi0_lower,phi_correction_sup,phi_lower,endpoint_phi_error,endpoint_DXphi_error,unperturbed_azimuthal_shear,perturbed_azimuthal_shear,endpoint_cex,log_C_chosen,log_C_required_axial,log_C_axial_margin,phi_positive,azimuthal_branch_certified,axial_branch_certified,B19_certified,proposition_b3_certificate
1.0000000000000001e-05,9.9999999999999984e+36,230.48342880094509,1,1.3257281106496745e-10,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561848e-10,0.2649999998599315,1.3986681827681397e-10,8.0470210669089934e-12,3.326818903256771,3.3268189014401459,0.29999999999999999,5.7026137929827759e+102,8.3398243375995606e+99,5.6942739686451763e+102,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999979e+37,232.78601389393916,1,1.3257281106496743e-11,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561844e-11,0.26499999998599316,1.3986681827681395e-11,8.0470210669089928e-13,3.326818903256771,3.3268189030751083,0.29999999999999999,5.7026137929827755e+103,8.33982433759956e+100,5.6942739686451759e+103,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999979e+38,235.08859898693319,1,1.3257281106496747e-12,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561849e-12,0.2649999999985993,1.3986681827681399e-12,8.0470210669089956e-14,3.326818903256771,3.3268189032386046,0.29999999999999999,5.702613792982776e+104,8.3398243375995591e+101,5.6942739686451765e+104,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999979e+39,237.39118407992723,1,1.3257281106496747e-13,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561849e-13,0.26499999999985996,1.3986681827681399e-13,8.0470210669089946e-15,3.326818903256771,3.3268189032549542,0.29999999999999999,5.7026137929827754e+105,8.3398243375995593e+102,5.694273968645176e+105,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999981e+40,239.69376917292129,1,1.3257281106496745e-14,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561847e-14,0.26499999999998602,1.3986681827681396e-14,8.0470210669089944e-16,3.326818903256771,3.3268189032565894,0.29999999999999999,5.702613792982776e+106,8.3398243375995593e+103,5.6942739686451766e+106,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999989e+41,241.99635426591533,1,1.325728110649674e-15,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561842e-15,0.26499999999999863,1.3986681827681392e-15,8.0470210669089907e-17,3.326818903256771,3.3268189032567532,0.29999999999999999,5.7026137929827761e+107,8.3398243375995606e+104,5.6942739686451768e+107,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999989e+42,244.29893935890937,1,1.3257281106496746e-16,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561849e-16,0.26499999999999985,1.3986681827681399e-16,8.0470210669089951e-18,3.326818903256771,3.3268189032567688,0.29999999999999999,5.7026137929827759e+108,8.3398243375995598e+105,5.694273968645176e+108,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999989e+43,246.60152445190343,1,1.3257281106496746e-17,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561847e-17,0.26500000000000001,1.3986681827681399e-17,8.0470210669089947e-19,3.326818903256771,3.326818903256771,0.29999999999999999,5.7026137929827763e+109,8.3398243375995606e+106,5.694273968645177e+109,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999993e+44,248.90410954489747,1,1.3257281106496743e-18,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561844e-18,0.26500000000000001,1.3986681827681393e-18,8.0470210669089923e-20,3.326818903256771,3.326818903256771,0.29999999999999999,5.7026137929827766e+110,8.3398243375995613e+107,5.6942739686451774e+110,1,1,1,1,1
1.0000000000000001e-05,9.9999999999999999e+45,251.2066946378915,1,1.3257281106496745e-19,1.0565403893938534,1.0550188771985236,0.060698879372524904,0.26500000000000001,1.4006852942561848e-19,0.26500000000000001,1.3986681827681396e-19,8.0470210669089944e-21,3.326818903256771,3.326818903256771,0.29999999999999999,5.7026137929827764e+111,8.3398243375995613e+108,5.6942739686451771e+111,1,1,1,1,1
