time,i,j,x,y,u,v,omega_z,exact_u,exact_v,velocity_error
0,3,20,0.58904862254808621,3.9269908169872414,-0.39284747919355101,0.58793780120967931,-0.78569495838710235,-0.39284747919355112,0.58793780120967931,1.1102230246251565e-16
0,3,21,0.58904862254808621,4.1233403578366037,-0.30865828381745503,0.69134171618254481,-0.92387953251128574,-0.30865828381745508,0.69134171618254492,1.2412670766236366e-16
0,3,22,0.58904862254808621,4.3196898986859651,-0.21260752369181424,0.76817775671141619,-1.0265599343186715,-0.2126075236918144,0.76817775671141608,2.0014830212433605e-16
0,3,23,0.58904862254808621,4.5160394395353274,-0.10838637566236986,0.8154931568489171,-1.0897902135516366,-0.10838637566236983,0.81549315684891699,1.1443916996305594e-16
0,3,24,0.58904862254808621,4.7123889803846897,-8.7653451056316639e-17,0.83146961230254524,-1.1111404660392046,-1.0205659613535074e-16,0.83146961230254524,1.4403145079034099e-17
0,3,25,0.58904862254808621,4.908738521234052,0.10838637566236967,0.81549315684891721,-1.0897902135516369,0.10838637566236962,0.8154931568489171,1.1857187100668868e-16
0,3,26,0.58904862254808621,5.1050880620834143,0.21260752369181407,0.76817775671141642,-1.0265599343186722,0.21260752369181421,0.76817775671141619,2.6184557666721351e-16
0,3,27,0.58904862254808621,5.3014376029327757,0.30865828381745486,0.69134171618254514,-0.92387953251128641,0.30865828381745486,0.69134171618254503,1.1102230246251565e-16
0,3,28,0.58904862254808621,5.497787143782138,0.39284747919355095,0.58793780120967953,-0.78569495838710235,0.39284747919355095,0.58793780120967953,0
0,3,29,0.58904862254808621,5.6941366846315002,0.4619397662556432,0.46193976625564348,-0.61731656763490994,0.46193976625564331,0.46193976625564331,2.0014830212433605e-16
0,3,30,0.58904862254808621,5.8904862254808616,0.51327996715933655,0.31818964514320852,-0.42521504738362798,0.51327996715933655,0.31818964514320902,4.9960036108132044e-16
0,3,31,0.58904862254808621,6.0868357663302239,0.54489510677581843,0.16221167441072901,-0.21677275132473942,0.54489510677581854,0.16221167441072926,2.7336071744532853e-16
0,4,0,0.78539816339744828,0,0.70710678118654746,1.344749321169988e-16,-8.7158611880683145e-16,0.70710678118654746,-0,1.344749321169988e-16
0,4,1,0.78539816339744828,0.19634954084936207,0.69351992266107376,-0.13794968964147139,0.27589937928294328,0.69351992266107365,-0.1379496896414715,1.5700924586837752e-16
0,4,2,0.78539816339744828,0.39269908169872414,0.65328148243818829,-0.27059805007309851,0.54119610014619712,0.65328148243818818,-0.27059805007309851,1.1102230246251565e-16
0,4,3,0.78539816339744828,0.58904862254808621,0.58793780120967942,-0.39284747919355106,0.78569495838710146,0.58793780120967931,-0.39284747919355106,1.1102230246251565e-16
0,4,4,0.78539816339744828,0.78539816339744828,0.5,-0.50000000000000011,0.99999999999999967,0.5,-0.5,1.1102230246251565e-16
0,4,5,0.78539816339744828,0.98174770424681035,0.39284747919355101,-0.58793780120967942,1.1758756024193591,0.39284747919355112,-0.58793780120967942,1.1102230246251565e-16
0,4,6,0.78539816339744828,1.1780972450961724,0.27059805007309851,-0.6532814824381884,1.3065629648763764,0.27059805007309851,-0.65328148243818829,1.1102230246251565e-16
0,4,7,0.78539816339744828,1.3744467859455345,0.13794968964147158,-0.69351992266107387,1.3870398453221469,0.13794968964147153,-0.69351992266107376,1.2412670766236366e-16
0,4,8,0.78539816339744828,1.5707963267948966,8.5824638111059186e-17,-0.70710678118654768,1.4142135623730949,4.3297802811774658e-17,-0.70710678118654757,1.1888853336066849e-16
0,4,9,0.78539816339744828,1.7671458676442586,-0.13794968964147145,-0.69351992266107387,1.3870398453221473,-0.13794968964147145,-0.69351992266107376,1.1102230246251565e-16
0,4,10,0.78539816339744828,1.9634954084936207,-0.27059805007309834,-0.65328148243818851,1.3065629648763759,-0.27059805007309845,-0.65328148243818829,2.4825341532472731e-16
0,4,11,0.78539816339744828,2.1598449493429825,-0.3928474791935509,-0.58793780120967953,1.1758756024193593,-0.39284747919355084,-0.58793780120967953,5.5511151231257827e-17
0,4,12,0.78539816339744828,2.3561944901923448,-0.49999999999999994,-0.50000000000000022,1.0000000000000009,-0.49999999999999989,-0.50000000000000011,1.2412670766236366e-16
0,4,13,0.78539816339744828,2.5525440310417071,-0.58793780120967931,-0.39284747919355123,0.7856949583871019,-0.58793780120967942,-0.39284747919355106,2.0014830212433605e-16
0,4,14,0.78539816339744828,2.748893571891069,-0.65328148243818818,-0.27059805007309867,0.54119610014619612,-0.65328148243818818,-0.27059805007309862,5.5511151231257827e-17
0,4,15,0.78539816339744828,2.9452431127404308,-0.69351992266107365,-0.13794968964147164,0.27589937928294311,-0.69351992266107365,-0.13794968964147175,1.1102230246251565e-16
0,4,16,0.78539816339744828,3.1415926535897931,-0.70710678118654735,-1.1015083549660962e-16,5.4069188457182757e-16,-0.70710678118654746,-8.6595605623549341e-17,1.1349361435098901e-16
0,4,17,0.78539816339744828,3.3379421944391554,-0.69351992266107365,0.13794968964147145,-0.27589937928294289,-0.69351992266107365,0.13794968964147158,1.3877787807814457e-16
0,4,18,0.78539816339744828,3.5342917352885173,-0.65328148243818818,0.27059805007309851,-0.54119610014619646,-0.65328148243818829,0.27059805007309845,1.2412670766236366e-16
0,4,19,0.78539816339744828,3.7306412761378791,-0.58793780120967942,0.39284747919355106,-0.7856949583871019,-0.58793780120967942,0.39284747919355095,1.1102230246251565e-16
0,4,20,0.78539816339744828,3.9269908169872414,-0.5,0.50000000000000011,-1.0000000000000004,-0.50000000000000011,0.5,1.5700924586837752e-16
0,4,21,0.78539816339744828,4.1233403578366037,-0.39284747919355101,0.58793780120967942,-1.1758756024193582,-0.39284747919355101,0.58793780120967942,0
0,4,22,0.78539816339744828,4.3196898986859651,-0.27059805007309867,0.65328148243818829,-1.306562964876375,-0.27059805007309889,0.65328148243818818,2.4825341532472731e-16
