tau,eta_target,z,q_reference,q_solved,eta_solved,relative_q_error,eta_error
0.10000000000000001,-0.20000000000000007,-0.065283846551121599,0.10416666666666667,0.10416666666666646,-0.20000000000000026,1.9984014443252818e-15,1.9428902930940239e-16
0.10000000000000001,-0.099999999999999978,-0.032148489966677588,0.10101010101010102,0.10101010101010116,-0.099999999999999908,1.373900992973631e-15,6.9388939039072284e-17
0.10000000000000001,-1.1102230246251565e-16,-3.5514870041402059e-17,0.10000000000000001,0.10000000000000089,-1.1102230246251517e-16,8.8817841970012523e-15,4.8071211411905407e-31
0.10000000000000001,0.099999999999999978,0.032148489966677588,0.10101010101010102,0.10101010101010116,0.099999999999999908,1.373900992973631e-15,6.9388939039072284e-17
0.10000000000000001,0.20000000000000007,0.065283846551121599,0.10416666666666667,0.10416666666666646,0.20000000000000026,1.9984014443252818e-15,1.9428902930940239e-16
0.10000000000000001,0.30000000000000016,0.10055316976239544,0.1098901098901099,0.10989010989010964,0.30000000000000054,2.3994695119711193e-15,3.8857805861880479e-16
0.10000000000000001,0.40000000000000002,0.13948957296714645,0.11904761904761905,0.11904761904761953,0.3999999999999993,3.9634961979118084e-15,7.2164496600635175e-16
0.10000000000000001,0.49999999999999989,0.18442282868198395,0.13333333333333333,0.133333333333334,0.49999999999999872,4.9960036108132044e-15,1.1657341758564144e-15
0.10000000000000001,0.59999999999999998,0.23938237048174699,0.15625,0.15625,0.59999999999999998,0,0
0.10000000000000001,0.70000000000000007,0.3125005620943993,0.19607843137254907,0.19607843137255038,0.69999999999999774,6.6530114750662487e-15,2.3314683517128287e-15
0.10000000000000001,0.80000000000000016,0.42434613323370202,0.27777777777777796,0.2777777777777759,0.80000000000000304,7.3940853440035372e-15,2.886579864025407e-15
0.10000000000000001,0.8999999999999998,0.65502741496579753,0.52631578947368318,0.52631578947368163,0.90000000000000113,2.9531932455029221e-15,1.3322676295501878e-15
0.01,-0.90000000000000002,-0.20953639944478905,0.052631578947368439,0.052631578947368703,-0.89999999999999769,5.0098813986210173e-15,2.3314683517128287e-15
0.01,-0.80000000000000004,-0.13574387704177435,0.027777777777777787,0.027777777777777832,-0.79999999999999949,1.6237011735142908e-15,5.5511151231257827e-16
0.01,-0.69999999999999996,-0.099965651985958678,0.019607843137254902,0.019607843137254902,-0.69999999999999996,0,0
0.01,-0.59999999999999998,-0.076575909428039504,0.015625,0.015624999999999964,-0.60000000000000075,2.3314683517128287e-15,7.7715611723760958e-16
0.01,-0.5,-0.058994928478625301,0.013333333333333334,0.01333333333333335,-0.49999999999999972,1.1709383462843448e-15,2.7755575615628914e-16
0.01,-0.40000000000000002,-0.04462125128175462,0.011904761904761906,0.011904761904761984,-0.39999999999999875,6.55725473919233e-15,1.27675647831893e-15
0.01,-0.29999999999999993,-0.032165904301689544,0.010989010989010988,0.010989010989011026,-0.29999999999999943,3.4729163989055682e-15,4.9960036108132044e-16
0.01,-0.20000000000000007,-0.020883617747422655,0.010416666666666668,0.01041666666666663,-0.20000000000000046,3.6637359812630158e-15,3.8857805861880479e-16
0.01,-0.099999999999999978,-0.010283964733836791,0.010101010101010102,0.010101010101010149,-0.099999999999999742,4.6369158512860054e-15,2.3592239273284576e-16
0.01,-1.1102230246251565e-16,-1.1360834409676659e-17,0.01,0.010000000000000057,-1.1102230246251533e-16,5.7245874707234634e-15,3.2047474274603605e-31
0.01,0.099999999999999978,0.010283964733836791,0.010101010101010102,0.010101010101010149,0.099999999999999742,4.6369158512860054e-15,2.3592239273284576e-16
0.01,0.20000000000000007,0.020883617747422655,0.010416666666666668,0.01041666666666663,0.20000000000000046,3.6637359812630158e-15,3.8857805861880479e-16
0.01,0.30000000000000016,0.032165904301689571,0.01098901098901099,0.010989010989011026,0.29999999999999966,3.315056562591678e-15,4.9960036108132044e-16
0.01,0.40000000000000002,0.04462125128175462,0.011904761904761906,0.011904761904761984,0.39999999999999875,6.55725473919233e-15,1.27675647831893e-15
0.01,0.49999999999999989,0.058994928478625287,0.013333333333333332,0.01333333333333335,0.49999999999999961,1.3010426069826053e-15,2.7755575615628914e-16
0.01,0.59999999999999998,0.076575909428039504,0.015625,0.015624999999999964,0.60000000000000075,2.3314683517128287e-15,7.7715611723760958e-16
0.01,0.70000000000000007,0.099965651985958692,0.019607843137254905,0.019607843137254902,0.70000000000000007,1.769417945496343e-16,0
0.01,0.80000000000000016,0.13574387704177437,0.027777777777777797,0.027777777777777832,0.7999999999999996,1.2490009027033003e-15,5.5511151231257827e-16
0.01,0.8999999999999998,0.20953639944478877,0.052631578947368314,0.052631578947368703,0.89999999999999658,7.3829831137573068e-15,3.219646771412954e-15
